"timestamp","market_cap_by_available_supply","price_btc","price_usd","volume_usd"
1470966357000,0,9.99061e-06,0.00587758,19
1471055060000,0,1e-05,0.00588079,32
1471146870000,0,1.48817e-05,0.00867193,304
1471233270000,0,1.10248e-05,0.00630051,21
1471319671000,5949,1.0995e-05,0.00625217,51
1471406072000,8066,1.44699e-05,0.00835877,91
1471492471000,6842,1.21967e-05,0.00700734,63
1471578871000,7391,1.29973e-05,0.00747728,79
1471665270000,8936,1.549e-05,0.00891902,67
1471751672000,8463,1.43184e-05,0.00834438,26
1471838071000,9727,1.6327e-05,0.00949026,61
1471924470000,8244,1.35117e-05,0.00794283,97
1472010871000,7952,1.3016e-05,0.00756863,42
1472097272000,8131,1.32886e-05,0.0076676,34
1472183674000,6203,1.00109e-05,0.00577642,106
1472270072000,6290,1.00191e-05,0.00578223,104
1472356473000,6284,1.00302e-05,0.00572058,17
1472442872000,8886,1.38992e-05,0.00800543,87
1472529272000,6443,1.00011e-05,0.00574379,34
1472615672000,5885,9.02e-06,0.00518956,28
1472702071000,7914,1.199e-05,0.00690052,75
1472788473000,6621,1.00103e-05,0.00571647,22
1472874873000,12646,1.88e-05,0.0108091,699
1472961272000,8342,1.1812e-05,0.00705685,2
1473047672000,8687,1.19991e-05,0.00726935,48
1473134135000,8769,1.20088e-05,0.00726771,124
1473220475000,7615,1.02465e-05,0.00624988,128
1473306873000,9431,1.2489e-05,0.00766982,570
1473393273000,10146,1.30492e-05,0.00816074,263
1473479671000,14525,1.86009e-05,0.0115833,388
1473566071000,12236,1.55003e-05,0.00966048,300
1473652472000,12422,1.59983e-05,0.00970792,28
1473738872000,11509,1.46383e-05,0.00890866,41
1473825271000,14135,1.78265e-05,0.0108494,460
1473911671000,14315,1.78684e-05,0.0108861,107
1473998073000,12449,1.54307e-05,0.00937862,367
1474084472000,12789,1.57411e-05,0.0095566,30
1474170872000,14491,1.76404e-05,0.0107008,117
1474257272000,12529,1.50901e-05,0.00921181,274
1474343671000,14040,1.68417e-05,0.0102441,25
1474430071000,12406,1.49997e-05,0.00897355,435
1474516471000,16657,1.999e-05,0.0119564,943
1474602869000,15861,1.88905e-05,0.0112768,143
1474689270000,14186,1.65585e-05,0.00999711,451
1474775670000,14847,1.72e-05,0.0103738,204
1474862070000,14731,1.70184e-05,0.010232,42
1474948470000,14672,1.66502e-05,0.0101056,20
1475034871000,14760,1.66589e-05,0.0100862,15
1475121272000,14559,1.63109e-05,0.00987166,47
1475207669000,15134,1.68e-05,0.0101683,69
1475294069000,21941,2.4e-05,0.0146663,917
1475380469000,25898,2.79941e-05,0.0171742,143
1475466869000,21428,2.304e-05,0.0140984,70
1475553269000,20188,2.163e-05,0.0131967,48
1475639671000,20327,2.16167e-05,0.0131857,57
1475726069000,22593,2.375e-05,0.0145407,66
1475812469000,22741,2.37504e-05,0.0145368,38
1475898867000,23128,2.373e-05,0.0146728,21
1475985271000,28321,2.8899e-05,0.0178251,330
1476071671000,29972,3.03227e-05,0.0187455,64
1476158070000,28862,2.90134e-05,0.0179836,362
1476244469000,25283,2.44465e-05,0.0156121,84
1476330872000,25447,2.44752e-05,0.01563,192
1476417269000,25320,2.41764e-05,0.0154307,151
1476503671000,26271,2.47798e-05,0.015891,87
1476590069000,24962,2.33897e-05,0.0149704,215
1476676468000,27545,2.57107e-05,0.016462,279
1476762869000,28296,2.62792e-05,0.0167967,137
1476849271000,29690,2.74794e-05,0.0175386,214
1476935669000,17592,1.64729e-05,0.0103492,3685
1477022069000,19580,1.80587e-05,0.0114278,825
1477108468000,23152,2.12089e-05,0.0134335,55
1477194870000,28970,2.53523e-05,0.0166987,262
1477281270000,26593,2.3214e-05,0.0152181,200
1477367669000,36542,3.17368e-05,0.0208424,1095
1477454076000,28230,2.4184e-05,0.0159905,145
1477540485000,34074,2.78864e-05,0.019176,234
1477626868000,33025,2.70755e-05,0.0185703,791
1477713268000,36102,2.87352e-05,0.0201749,350
1477799969000,34465,2.72337e-05,0.0192507,40
1477886368000,33127,2.64637e-05,0.0184965,75
1477972771000,32049,2.51003e-05,0.0178764,116
1478059171000,32811,2.50002e-05,0.0181685,203
1478145569000,33621,2.49438e-05,0.0184937,193
1478231972000,33773,2.64576e-05,0.0185663,95
1478318369000,34280,2.68297e-05,0.018834,106
1478404770000,32958,2.523e-05,0.0179938,122
1478494770000,32041,2.47895e-05,0.0174806,172
1478581170000,23972,1.84297e-05,0.0130065,790
1478667570000,27792,2.06972e-05,0.015073,12
1478753969000,26668,2.01992e-05,0.0144592,79
1478840368000,28730,2.17142e-05,0.0155292,25
1478926767000,26990,2.03e-05,0.0145315,54
1479013172000,27501,2.12629e-05,0.0147988,27
1479099572000,25619,1.94423e-05,0.0137054,54
1479185969000,22087,1.66341e-05,0.011809,164
1479272368000,22442,1.67788e-05,0.0119306,54
1479358768000,20542,1.45137e-05,0.0109134,16
1479445169000,22479,1.60734e-05,0.011938,78
1479531566000,28571,2.0096e-05,0.0150894,145
1479617968000,28827,2.01526e-05,0.01522,472
1479704367000,24583,1.77565e-05,0.0129749,10
1479790770000,22097,1.57632e-05,0.011661,12
1479877167000,23628,1.65501e-05,0.012392,61
1479963568000,22783,1.59712e-05,0.0118905,65
1480049970000,21786,1.54431e-05,0.0113548,43
1480136370000,22495,1.57289e-05,0.0116567,64
1480222768000,25832,1.82805e-05,0.0133825,43
1480309174000,22678,1.59718e-05,0.0117457,8
1480395570000,26107,1.83641e-05,0.0135195,2
1480481969000,25615,1.80087e-05,0.0132629,46
1480568371000,27728,1.91323e-05,0.0143551,289
1480654781000,30118,2.01618e-05,0.0155902,10
1480741169000,30105,1.99795e-05,0.0155002,807
1480827567000,29236,1.94967e-05,0.0150473,33
1480913968000,29755,2.00246e-05,0.0153121,64
1481000368000,28374,1.92181e-05,0.0145997,140
1481086768000,28277,1.90798e-05,0.0145479,24
1481173168000,28976,1.94118e-05,0.0149056,63
1481259578000,28833,1.92375e-05,0.0148307,168
1481345971000,25897,1.71068e-05,0.0132518,87
1481432370000,25888,1.72446e-05,0.013239,16
1481518772000,24703,1.62583e-05,0.0125626,76
1481605200000,26724,1.74204e-05,0.0135735,12
1481691869000,27713,1.78927e-05,0.0139865,135
1481778272000,30324,1.95451e-05,0.0152428,237
1481864673000,28711,1.83842e-05,0.0143696,20
1481951070000,30763,1.93611e-05,0.015311,25
1482037468000,30037,1.88586e-05,0.0149318,46
1482123869000,29534,1.84382e-05,0.0146054,91
1482210271000,29346,1.83095e-05,0.0145028,20
1482296681000,29571,1.80334e-05,0.0145367,68
