"timestamp","market_cap_by_available_supply","price_btc","price_usd","volume_usd"
1405914258000,26424000,2.12485e-05,0.013212,9083
1406000661000,20072400,1.61049e-05,0.0100362,67242
1406087059000,20675657,1.66424e-05,0.0103392,365483
1406173459000,19800647,1.59912e-05,0.00990157,85615
1406259858000,19267084,1.59301e-05,0.00963469,66160
1406346258000,18162056,1.51126e-05,0.00908205,79402
1406432657000,17365347,1.45981e-05,0.00868365,37608
1406522659000,15209069,1.30382e-05,0.00760539,128005
1406609060000,15643880,1.33103e-05,0.00782282,87934
1406701459000,16531641,1.41474e-05,0.00826675,74841
1406787859000,17962420,1.56367e-05,0.00898222,166426
1406875159000,19940077,1.70121e-05,0.00997116,277430
1406962458000,19303809,1.62805e-05,0.00965299,114178
1407049459000,18986385,1.62546e-05,0.00949426,126299
1407135858000,19055377,1.62764e-05,0.00952876,54961
1407222257000,19267593,1.64309e-05,0.00963488,41942
1407308657000,18644283,1.5893e-05,0.00932319,39337
1407395056000,17858151,1.52613e-05,0.00893008,103890
1407481457000,18308081,1.53846e-05,0.00915507,55345
1407567856000,17831494,1.5137e-05,0.00891675,67880
1407654557000,17701229,1.50282e-05,0.00885161,67780
1407740957000,17844313,1.51392e-05,0.00892316,30142
1407827358000,17130033,1.49612e-05,0.00856598,88080
1407913757000,17070880,1.5298e-05,0.0085364,51211
1408000157000,16194079,1.52909e-05,0.00809795,58486
1408086557000,17150851,1.67452e-05,0.00857639,80381
1408172958000,18313720,1.86418e-05,0.00915789,105648
1408259358000,20172331,1.98166e-05,0.0100873,311043
1408345759000,19778416,2.04106e-05,0.00989032,143133
1408432157000,20467098,2.16921e-05,0.0102347,171370
1408518561000,24551839,2.6143e-05,0.0122773,257372
1408604957000,29647200,2.86027e-05,0.014824,547662
1408691357000,56833808,5.63588e-05,0.0284177,2433880
1408777757000,49977147,4.93141e-05,0.0249893,1415460
1408864159000,50085296,4.97531e-05,0.0250434,796013
1408950560000,64858792,6.46003e-05,0.0324304,1825860
1409036959000,86084678,8.5107e-05,0.0430425,4612890
1409123358000,68585944,6.60267e-05,0.0342931,2893740
1409209759000,76324515,7.42227e-05,0.0381624,1073130
1409296159000,53746199,5.30599e-05,0.0268732,1691690
1409382560000,48765417,4.82917e-05,0.0243828,1270870
1409468959000,60333774,6.08511e-05,0.030167,2285840
1409555356000,59392378,6.24957e-05,0.0296963,1245790
1409641757000,55117394,5.78657e-05,0.0275588,415512
1409729057000,59082779,6.1748e-05,0.0295415,644791
1409815457000,67736919,7.04419e-05,0.0338685,1162300
1409901857000,63409525,6.47028e-05,0.0317048,614392
1409988256000,63917324,6.59623e-05,0.0319587,331682
1410074657000,65258522,6.69742e-05,0.0326293,610322
1410162256000,65326922,6.87966e-05,0.0326635,235838
1410248656000,74761111,7.95126e-05,0.0373806,2091200
1410335058000,76771309,8.01219e-05,0.0383857,947970
1410421458000,78408707,8.19243e-05,0.0392044,901068
1410507856000,78107799,8.18379e-05,0.0390539,623095
1410594257000,77811399,8.16481e-05,0.0389057,578043
1410680657000,75383409,7.89126e-05,0.0376939,803621
1410767057000,72447580,7.57674e-05,0.0362259,826924
1410853456000,70099916,7.39932e-05,0.035052,903206
1410939856000,67311479,7.24086e-05,0.0336577,976361
1411026255000,64889620,7.15504e-05,0.0324467,705878
1411112656000,61041044,7.38303e-05,0.0305223,458797
1411199057000,62362367,7.51484e-05,0.031183,605647
1411285457000,60692064,7.67796e-05,0.0303478,511834
1411371857000,61493218,7.58642e-05,0.0307484,189343
1411458257000,61956991,7.68012e-05,0.0309803,166473
1411544656000,62256773,7.2962e-05,0.0311302,371108
1411631656000,61263431,7.46064e-05,0.0306335,189471
1411718056000,66104349,8.13594e-05,0.0330541,796326
1411804458000,68305221,8.43669e-05,0.0341546,812510
1411890857000,64962816,8.15909e-05,0.0324833,374377
1411977556000,62208576,8.28567e-05,0.0311061,314460
1412063955000,64682232,8.6144e-05,0.032343,282162
1412178857000,65300196,8.49658e-05,0.032652,191774
1412280557000,63208118,8.38954e-05,0.0316059,101184
1412366957000,62264973,8.57296e-05,0.0311343,74557
1412455458000,60778459,9.2345e-05,0.030391,277788
1412541857000,57042877,9.22199e-05,0.0285231,332572
1412628255000,58907968,8.81319e-05,0.0294557,225874
1412714656000,57054276,8.64055e-05,0.0285288,235190
1412801056000,56459111,8.11264e-05,0.0282312,218835
1412887455000,56968081,7.6645e-05,0.0284857,231656
1412973855000,54604619,7.62748e-05,0.0273039,192961
1413060256000,55262381,7.61556e-05,0.0276328,381641
1413146656000,54470227,7.35128e-05,0.0272367,170212
1413233056000,54700813,7.06871e-05,0.027352,113114
1413319461000,55459769,6.82876e-05,0.0277315,188807
1413405855000,52851721,6.74248e-05,0.0264274,203723
1413492555000,51304611,6.68059e-05,0.0256538,360416
1413578956000,49677906,6.50067e-05,0.0248404,202637
1413665356000,48826555,6.20194e-05,0.0244147,235935
1413751757000,45822730,5.87877e-05,0.0229127,428055
1413838156000,44249022,5.75157e-05,0.0221258,551787
1413924558000,51454202,6.64227e-05,0.0257286,299291
1414010957000,52836522,6.88036e-05,0.0264198,793607
1414097358000,46093515,6.37757e-05,0.0230481,383184
1414183758000,46417896,6.47997e-05,0.0232103,325162
1414270159000,45440553,6.48235e-05,0.0227216,181028
1414356558000,45612943,6.44002e-05,0.0228078,151660
1414442972000,46034718,6.47596e-05,0.0230187,132844
1414529360000,44428212,6.21831e-05,0.0222154,125260
1414615756000,41829363,6.10729e-05,0.0209159,139551
1414702156000,36064099,5.19084e-05,0.0180331,553306
1414788559000,33851228,4.95944e-05,0.0169266,284666
1414877059000,28973912,4.48227e-05,0.0144878,485382
1414967057000,32988878,5.05248e-05,0.0164954,369086
1415053459000,32708294,4.96805e-05,0.0163551,225828
1415139858000,34252204,5.21126e-05,0.0171271,130363
1415226257000,39551496,5.81218e-05,0.0197769,514824
1415312657000,36160093,5.17046e-05,0.0180811,342425
1415399059000,36614267,5.34893e-05,0.0183082,125627
1415485457000,40864819,5.92271e-05,0.0204336,303264
1415571856000,39516098,5.50727e-05,0.0197592,176782
1415658257000,38481758,5.24054e-05,0.019242,335149
1415744657000,37791198,5.1501e-05,0.0188967,112434
1415831056000,40425045,4.75894e-05,0.0202137,315136
1415917458000,39516498,4.82757e-05,0.0197594,574111
1416003859000,37435419,4.69725e-05,0.0187188,220779
1416090256000,35639724,4.68922e-05,0.0178209,137592
1416176656000,35624124,4.60656e-05,0.0178131,86818
1416263057000,34265804,4.44398e-05,0.0171339,227035
1416349457000,31199382,4.12708e-05,0.0156006,303177
1416435859000,38113733,4.04059e-05,0.0152569,234831
1416522259000,35056067,3.93113e-05,0.0140332,243534
1416608657000,41103783,4.67239e-05,0.0164541,234044
1416695057000,39919742,4.474e-05,0.0159801,210962
1416781457000,41639047,4.51403e-05,0.0166682,158326
1416867857000,41118873,4.34638e-05,0.0164599,166358
1416955157000,43504008,4.62948e-05,0.0174158,203902
1417041558000,41202746,4.4857e-05,0.0164947,53416
1417127957000,42154806,4.56906e-05,0.0168756,45798
1417214357000,42349897,4.44221e-05,0.0169537,23824
1417300757000,51054587,5.45151e-05,0.0204384,994318
1417387157000,47477738,5.02906e-05,0.0190065,528486
1417473557000,48440207,5.11402e-05,0.0193918,280627
1417559957000,48685009,5.12496e-05,0.0194898,217486
1417646358000,48255857,5.13903e-05,0.019318,167143
1417732756000,46676888,5.04111e-05,0.0186859,234740
