"timestamp","market_cap_by_available_supply","price_btc","price_usd","volume_usd"
1411522463000,0,0.00232894,1.00546,165184
1411609463000,0,0.00225499,0.941808,100236
1411695866000,0,0.00238754,0.990249,107746
1411782263000,2032574,0.00248279,0.998097,37323
1411868663000,2034222,0.00249333,0.998906,10876
1411955063000,2027288,0.00259878,0.995501,42360
1412041764000,2044310,0.0026714,1.00386,43201
1412128162000,2024058,0.00257085,0.993915,52466
1412260462000,2246230,0.00265117,1.00258,17727
1412346861000,2248336,0.0027211,1.00352,118349
1412435662000,2278291,0.00293997,1.01689,413722
1412522062000,2238769,0.00322236,0.999249,462375
1412608463000,2140846,0.00278223,0.955542,1926910
1412694864000,2258758,0.00305154,1.00817,925445
1412781261000,2217398,0.00288927,0.989709,871413
1412867663000,2256563,0.00265958,1.00719,774131
1412954065000,2248879,0.00282109,1.00376,443158
1413040462000,2247736,0.00281775,1.00325,288061
1413126862000,2278094,0.00279148,1.0168,9646
1413213262000,2250178,0.00263681,1.00434,282062
1413299664000,2231459,0.00249339,0.995985,287520
1413386063000,2225800,0.00250943,0.993459,116965
1413472463000,2238611,0.00261664,0.999177,222441
1413559164000,6308905,0.00266374,1.00453,1228610
1413645563000,6289122,0.00254897,1.00138,547356
1413731963000,6318388,0.00256949,1.00604,42480
1413818363000,6277007,0.0025992,0.999451,132762
1413904762000,6276454,0.00255283,0.999363,189352
1413991165000,2255466,0.00261168,1.0067,29447
1414077568000,2228840,0.00273017,0.994816,19112
1414163963000,2247131,0.00277134,1.00298,368107
1414250365000,2226494,0.00288107,0.993769,9022
1414336764000,2245921,0.00283941,1.00244,38411
1414423164000,2250537,0.00281632,1.0045,12850
1414509564000,2249551,0.0028104,1.00406,33220
1414595962000,2213948,0.002883,0.988169,73422
1414682365000,2252643,0.00297419,1.00544,106462
1414768763000,2240150,0.00293318,0.999864,631207
1414857264000,2226992,0.00304892,0.993991,12867
1414947264000,2267250,0.00310306,1.01196,36509
1415033664000,2247803,0.00306006,1.00328,17170
1415120065000,2235525,0.00304015,0.9978,29102
1415206463000,2198459,0.00288684,0.981256,157729
1415292863000,2254144,0.00286982,1.00611,201100
1415379262000,2234347,0.00291171,0.997274,83786
1415465662000,2251164,0.00291344,1.00478,68698
1415552064000,2234555,0.00280338,0.997367,90587
1415638462000,2261291,0.00271838,1.0093,114891
1415724862000,2232503,0.00272186,0.996451,94905
1415811262000,2235021,0.00244374,0.997575,209016
1415897662000,2234067,0.0023072,0.997149,478736
1415984066000,2242090,0.00255131,1.00073,1042570
1416070463000,2235918,0.00264942,0.997975,225206
1416156864000,2241261,0.00261038,1.00036,98272
1416243263000,2233554,0.00249503,0.99692,301440
1416329662000,2230316,0.00265131,0.995475,438495
1416416065000,2228719,0.00263293,0.994762,43044
1416502462000,2242829,0.00277215,1.00106,158525
1416588861000,2237329,0.00280357,0.998605,114653
1416675262000,2236471,0.00279447,0.998222,203451
1416761663000,2248139,0.00276701,1.00343,23880
1416848062000,2248386,0.00262215,1.00354,169136
1416934461000,2199459,0.00260981,0.981702,156508
1417021762000,2221440,0.00266662,0.991513,267271
1417108168000,2223608,0.00268359,0.992215,78101
1417194562000,2294687,0.00271016,1.02213,27396
1417280964000,2231071,0.00260687,0.993793,54843
1417367363000,2246214,0.00265432,1.00026,36210
1417453764000,2243362,0.0026258,0.99899,201049
1417540163000,2269367,0.00263399,1.01057,68224
1417626563000,2225166,0.00262985,0.990887,16390
1417712962000,2231438,0.00267718,0.99368,90443
1417799362000,2253131,0.00268565,1.00334,93287
1417885762000,2252457,0.0026726,1.00304,19284
1417972160000,2238186,0.0026579,0.996685,1946
1418058564000,2229828,0.00269817,0.992963,24884
1418144962000,2289173,0.00288407,1.01939,20415
1418231365000,2235247,0.00284675,0.995376,11814
1418483661000,2261866,0.00289057,1.00723,49104
1418570061000,2226723,0.00284698,0.99158,39483
1418656461000,2238371,0.00287002,0.996767,61812
1418743161000,2231558,0.00296171,0.993733,19413
1418829563000,2234736,0.00312136,0.995148,42455
1418915959000,2249135,0.00321628,1.00156,361392
1419002360000,2252368,0.00320937,1.003,422482
1419088762000,2240682,0.00304213,0.997796,432132
1419175160000,2233285,0.00305596,0.994502,440731
1419261560000,2256478,0.00305231,1.00483,301035
1419347960000,2244950,0.00300354,0.999696,477003
1419434360000,2257265,0.00305129,1.00518,292522
1419520760000,2235941,0.00312236,0.995684,237830
1419607160000,2223864,0.00305394,0.990306,463213
