"timestamp","market_cap_by_available_supply","price_btc","price_platform","price_usd","volume_usd"
1411446262000,565893,0.00250448,32.6767,1.00924,521
1411532662000,566868,0.00236226,32.2442,1.00937,4030
1411619662000,565925,0.00240255,32.7344,1.00769,6124
1411706063000,381621,0.00252713,31.736,1.03805,76620
1411792461000,373364,0.00250075,29.1462,1.01559,10925
1411878861000,366321,0.00249217,30.0014,0.996432,3265
1411965262000,367694,0.00262569,31.9489,0.996379,6594
1412051964000,375212,0.00268647,31.9711,1.01673,1699
1412142261000,369209,0.00257751,30.2114,1.00455,33
1412266763000,367097,0.00265219,31.4042,0.998803,2470
1412353163000,366555,0.00270358,31.7743,0.997328,2010
1412442564000,363321,0.00293433,33.4429,0.993963,18127
1412528965000,363844,0.00340073,35.8937,1.00312,38832
1412615362000,362132,0.00292753,33.7254,1.00311,892
1412701763000,363353,0.00305275,35.5132,1.00687,7868
1412788162000,359184,0.00289888,35.5124,0.995318,666
1412874563000,356509,0.00261819,34.3952,0.987945,5683
1412960962000,369272,0.00275792,36.4232,0.993451,13481
1413047362000,374693,0.00283203,37.5399,1.02152,12879
1413133762000,360600,0.00272587,36.2337,0.992929,8760
1413220163000,367330,0.00267341,37.3613,1.01035,1363
1413306564000,366290,0.00250709,36.623,1.00696,997
1413392962000,366348,0.00258213,38.6546,1.00802,6630
1413479362000,352905,0.00253608,37.9231,0.971028,1722
1413566063000,369780,0.0026528,40.0408,1.01644,3967
1413652463000,363953,0.00254996,41.3692,1.00111,7772
1413738863000,396041,0.00262023,46.3118,1.01943,66696
1413825265000,391915,0.00262113,45.2713,1.01294,24543
1413911662000,395307,0.00262671,42.9499,1.0238,6011
1413998063000,390026,0.00261061,40.5205,1.00309,7325
1414084465000,391801,0.00277864,44.4323,1.0078,12388
1414170864000,390994,0.00284069,43.8761,1.02313,45399
1414392263000,374218,0.00279269,43.453,0.98,10
1414540163000,1148096,0.00276937,44.2727,0.989,274
1414626563000,1152617,0.00296222,48.7848,0.994522,39143
1414712964000,1164510,0.0029519,55.7518,1.01626,23521
